bin_center,iqs_leg_scaled_freq,iqs_rev_scaled_freq,score_freq
0.050922024383720926,0,15,0
0.06085264515116279,0,0,0
0.07078326591860465,0,3,0
0.08071388668604651,0,0,0
0.09064450745348837,0,0,0
0.10057512822093023,0,2,0
0.1105057489883721,0,1,0
0.12043636975581395,0,3,0
0.13036699052325582,0,5,0
0.14029761129069768,0,29,0
0.15022823205813954,0,18,0
0.1601588528255814,0,124,0
0.17008947359302326,0,5,0
0.18002009436046512,0,12,0
0.18995071512790698,0,17,0
0.19988133589534884,15,33,0
0.2098119566627907,0,31,0
0.21974257743023257,0,28,17
0.22967319819767443,0,38,56
0.2396038189651163,0,61,74
0.24953443973255815,0,61,31
0.2594650605,0,81,10
0.26939568126744184,3,98,3
0.27932630203488373,0,98,1
0.2892569228023256,0,62,3
0.29918754356976746,2,60,9
0.3091181643372093,0,58,15
0.3190487851046512,2,50,17
0.32897940587209307,1,54,28
0.33891002663953496,2,51,46
0.34884064740697673,4,59,64
0.3587712681744186,13,81,83
0.3687018889418605,16,87,93
0.3786325097093024,11,129,148
0.3885631304767442,21,221,137
0.39849375124418607,107,306,205
0.40842437201162796,1,366,352
0.41835499277906985,2,431,633
0.4282856135465116,2,507,928
0.4382162343139535,5,524,1068
0.4481468550813954,6,483,1330
0.4580774758488373,11,488,1639
0.46800809661627907,17,646,1748
0.47793871738372096,12,744,1980
0.48786933815116285,23,842,2363
0.4977999589186047,28,720,2489
0.5077305796860465,24,663,2619
0.5176612004534884,29,715,2726
0.5275918212209303,25,964,2876
0.5375224419883722,59,1420,2930
0.547453062755814,41,2027,3141
0.5573836835232558,53,3135,3001
0.5673143042906977,83,5110,3143
0.5772449250581395,55,9559,3223
0.5871755458255814,65,17002,3230
0.5971061665930233,79,19989,3218
0.6070367873604652,84,11140,3122
0.6169674081279071,100,2708,3021
0.626898028895349,104,274,2900
0.6368286496627907,106,22,2885
0.6467592704302326,98,2,2602
0.6566898911976744,105,0,2412
0.6666205119651163,164,0,2146
0.6765511327325582,273,0,1945
0.6864817535000001,277,0,1579
0.696412374267442,396,0,1259
0.7063429950348838,469,0,1028
0.7162736158023256,459,0,1214
0.7262042365697675,542,0,1721
0.7361348573372093,609,0,1194
0.7460654781046512,795,0,794
0.7559960988720931,824,0,1355
0.765926719639535,785,0,1692
0.7758573404069768,845,0,1584
0.7857879611744187,914,0,1337
0.7957185819418605,1160,0,981
0.8056492027093024,1575,0,14
0.8155798234767442,2365,0,0
0.8255104442441861,3921,0,0
0.835441065011628,7020,0,0
0.8453716857790698,12601,0,0
0.8553023065465117,19269,0,0
0.8652329273139536,16991,0,0
0.8751635480813954,7064,0,0
0.8850941688488373,1572,0,0
0.8950247896162791,158,0,0
