y,iqs_leg_scaled_left,iqs_leg_scaled_right,iqs_rev_scaled_left,iqs_rev_scaled_right,score_left,score_right
0.045956713999999996,2.0,2.0,2.999785012561586,3.000214987438414,1.0,1.0
0.05458331385858586,2.0,2.0,2.999922207958632,3.000077792041368,1.0,1.0
0.06320991371717172,2.0,2.0,2.9999821300567038,3.0000178699432962,1.0,1.0
0.07183651357575757,2.0,2.0,2.9999580174570117,3.0000419825429883,1.0,1.0
0.08046311343434343,2.0,2.0,2.9999828342985912,3.0000171657014088,1.0,1.0
0.08908971329292929,2.0,2.0,2.9999924890730933,3.0000075109269067,1.0,1.0
0.09771631315151515,2.0,2.0,2.9999721614086314,3.0000278385913686,1.0,1.0
0.10634291301010101,2.0,2.0,2.9999749394345105,3.0000250605654895,1.0,1.0
0.11496951286868687,2.0,2.0,2.99994983956545,3.00005016043455,1.0,1.0
0.12359611272727272,2.0,2.0,2.999913467249399,3.000086532750601,1.0,1.0
0.1322227125858586,2.0,2.0,2.9997710767124457,3.0002289232875543,1.0,1.0
0.14084931244444443,2.0,2.0,2.999501528533851,3.000498471466149,1.0,1.0
0.1494759123030303,2.0,2.0,2.999104550026943,3.000895449973057,0.9999999999999966,1.0000000000000033
0.15810251216161617,1.9999999999999998,2.0,2.9981091346730366,3.0018908653269634,0.9999999999991193,1.0000000000008806
0.16672911202020202,1.9999999999958544,2.0000000000041456,2.999120015277793,3.000879984722207,0.999999999888051,1.0000000001119491
0.1753557118787879,1.9999999869379723,2.000000013062028,2.9997480638027088,3.0002519361972912,0.9999999929362049,1.000000007063795
0.18398231173737373,1.9999962716312718,2.000003728368728,2.999721262923183,3.000278737076817,0.9999997764529115,1.0000002235470884
0.1926089115959596,1.999903595244554,2.000096404755446,2.9994992782818963,3.0005007217181037,0.999996379457474,1.000003620542526
0.20123551145454543,1.999774188607921,2.000225811392079,2.9993365868161184,3.0006634131838816,0.9999688202070022,1.000031179792998
0.20986211131313132,1.999952086536876,2.000047913463124,2.9993654147850783,3.0006345852149217,0.9998477659841378,1.0001522340158622
0.2184887111717172,1.9999990790623616,2.000000920937638,2.999379510235161,3.000620489764839,0.9995430959450076,1.0004569040549924
0.22711531103030302,1.9999999983965306,2.0000000016034694,2.99922402242579,3.00077597757421,0.9991047489929922,1.0008952510070077
